Months,2008,2009,2010,2011,2012,2013
1,8.11,8.54,6.85,6.87,7.42,7.51
2,8.18,8.57,6.90,6.89,7.45,7.52
3,8.21,8.58,6.93,6.89,7.41,7.49
4,8.20,8.57,6.92,6.88,7.39,7.47
5,8.21,8.56,6.91,6.78,7.16,7.45
6,8.24,8.54,6.91,6.73,7.00,7.38
7,8.25,8.52,6.81,6.37,6.65,7.32
8,7.82,8.40,6.80,6.22,6.38,7.24
9,7.87,8.29,6.73,6.14,6.16,7.17
10,7.89,8.15,6.51,6.00,6.08,7.11
11,7.92,7.90,6.42,5.90,5.88,7.04
12,7.37,7.51,6.21,5.72,5.71,6.95
13,7.39,7.39,6.12,5.61,5.58,6.90
14,7.41,6.72,6.05,5.35,5.41,6.90
15,7.15,6.60,6.05,5.20,5.29,6.90
16,6.75,6.46,5.90,5.16,5.16,6.88
17,6.78,6.49,5.78,5.09,5.04,,
18,6.82,6.32,5.76,4.98,4.96,,
19,5.87,6.14,5.71,4.84,4.93,,
20,5.66,6.12,5.56,4.76,4.89,,
21,5.70,6.00,5.47,4.66,4.84,,
22,5.74,6.04,5.46,4.58,4.81,,
23,5.66,5.99,5.42,4.61,4.77,,
24,5.31,5.91,5.40,4.60,4.72,,
25,5.35,5.86,5.37,4.57,4.70,,
26,5.37,5.70,5.31,4.54,4.68,,
27,5.40,5.64,5.29,4.46,4.67,,
28,5.41,5.49,5.26,4.42,4.67,,
29,5.43,5.45,5.26,4.36,4.67,,
30,5.31,5.42,5.19,4.33,,,
31,5.32,5.37,5.16,4.31,,,
32,5.27,5.34,5.12,4.29,,,
33,5.27,5.29,5.09,4.28,,,
34,5.26,5.25,5.06,4.26,,,
35,5.25,5.25,5.03,4.26,,,
36,5.24,5.24,5.01,4.25,,,