unit,category,use,translation,item,subcategory,amount,date,source
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1674,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1675,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1676,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1677,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1678,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,48,1679,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1680,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,384,1681,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1682,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1683,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1684,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1685,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1686,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1687,
"Stoff (Solids)","Grain",,"barley groats","Gerstengrüz",,0,1688,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1640,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,459.5,1641,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1642,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1643,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,463,1644,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,936,1645,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,1275,1646,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1647,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1648,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1649,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1650,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1651,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1652,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1653,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1654,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1655,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1656,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1657,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1658,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,52,1659,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1660,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1661,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1662,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,2295,1663,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,336,1664,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1665,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1666,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1667,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,28,1668,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1669,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1670,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1671,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1672,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1673,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1674,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1675,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1676,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1677,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1678,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,72,1679,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1680,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,336,1681,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1682,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1683,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1684,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1685,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1686,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1687,
"Stoff (Solids)","Grain",,"oat groats","Habergrütz",,0,1688,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1640,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,662,1641,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1642,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1643,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,432,1644,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,789,1645,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,408.5,1646,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1647,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1648,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1649,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1650,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1651,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1652,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1653,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1654,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1655,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1656,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1657,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1658,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1659,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1660,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1661,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1662,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,1808,1663,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,48,1664,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1665,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1666,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1667,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,172,1668,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1669,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1670,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,8,1671,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1672,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1673,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1674,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1675,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1676,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1677,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1678,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1679,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1680,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,48,1681,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1682,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1683,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1684,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1685,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1686,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1687,
"Stoff (Solids)","Grain",,"pearl barley","Gerstengraupen/ Graupen",,0,1688,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1640,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1641,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1642,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1643,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1644,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1645,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1646,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1647,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1648,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1649,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1650,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1651,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1652,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1653,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1654,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1655,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1656,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1657,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1658,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1659,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1660,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1661,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1662,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1663,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1664,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1665,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1666,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1667,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1668,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1669,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1670,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1671,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1672,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1673,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1674,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1675,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1676,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1677,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1678,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,168,1679,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1680,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1681,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1682,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1683,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1684,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1685,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1686,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1687,
"Stoff (Solids)","Grain",,"wheat flour","Weitzen Mehl",,0,1688,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1640,
"Stof (Solids)","Grain",,"peas","Erbßen",,1994.5,1641,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1642,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1643,
"Stof (Solids)","Grain",,"peas","Erbßen",,1427,1644,
"Stof (Solids)","Grain",,"peas","Erbßen",,2195,1645,
"Stof (Solids)","Grain",,"peas","Erbßen",,3390,1646,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1647,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1648,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1649,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1650,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1651,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1652,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1653,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1654,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1655,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1656,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1657,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1658,
"Stof (Solids)","Grain",,"peas","Erbßen",,972,1659,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1660,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1661,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1662,
"Stof (Solids)","Grain",,"peas","Erbßen",,6246,1663,
"Stof (Solids)","Grain",,"peas","Erbßen",,736,1664,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1665,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1666,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1667,
"Stof (Solids)","Grain",,"peas","Erbßen",,1401.5,1668,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1669,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1670,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1671,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1672,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1673,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1674,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1675,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1676,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1677,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1678,
"Stof (Solids)","Grain",,"peas","Erbßen",,192,1679,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1680,
"Stof (Solids)","Grain",,"peas","Erbßen",,432,1681,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1682,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1683,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1684,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1685,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1686,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1687,
"Stof (Solids)","Grain",,"peas","Erbßen",,0,1688,
